Date,Male,Female,Population
Jun-1981,2608351,2626538,5234889
Sep-1981,2616060,2633395,5249455
Dec-1981,2624579,2642315,5266894
Mar-1982,2634534,2651585,5286119
Jun-1982,2643527,2660053,5303580
Sep-1982,2649615,2666231,5315846
Dec-1982,2655478,2672743,5328221
Mar-1983,2663858,2680169,5344027
Jun-1983,2668049,2684910,5352959
Sep-1983,2673036,2690708,5363744
Dec-1983,2678250,2696665,5374915
Mar-1984,2685607,2703573,5389180
Jun-1984,2692083,2710646,5402729
Sep-1984,2699019,2717517,5416536
Dec-1984,2706580,2725172,5431752
Mar-1985,2716617,2734932,5451549
Jun-1985,2723253,2741259,5464512
Sep-1985,2730142,2748112,5478254
Dec-1985,2739325,2757142,5496467
Mar-1986,2749467,2766910,5516377
Jun-1986,2756990,2774536,5531526
Sep-1986,2765810,2784118,5549928
Dec-1986,2777230,2797021,5574251
Mar-1987,2788076,2808131,5596207
Jun-1987,2798066,2818670,5616736
Sep-1987,2809476,2830423,5639899
Dec-1987,2822255,2843964,5666219
Mar-1988,2834126,2855271,5689397
Jun-1988,2842852,2864457,5707309
Sep-1988,2854584,2875747,5730331
Dec-1988,2865373,2886881,5752254
Mar-1989,2874052,2895668,5769720
Jun-1989,2876807,2899476,5776283
Sep-1989,2881220,2904405,5785625
Dec-1989,2889741,2913338,5803079
Mar-1990,2897622,2920529,5818151
Jun-1990,2905892,2928129,5834021
Sep-1990,2913176,2936358,5849534
Dec-1990,2918868,2943629,5862497
Mar-1991,2929101,2954147,5883248
Jun-1991,2936262,2962469,5898731
Sep-1991,2944740,2971974,5916714
Dec-1991,2949765,2978307,5928072
Mar-1992,2958748,2987638,5946386
Jun-1992,2964164,2993658,5957822
Sep-1992,2970307,3000447,5970754
Dec-1992,2973116,3004707,5977823
Mar-1993,2979175,3011249,5990424
Jun-1993,2981014,3014041,5995055
Sep-1993,2987977,3021682,6009659
Dec-1993,2992409,3027762,6020171
Mar-1994,3000720,3036376,6037096
Jun-1994,3004486,3040333,6044819
Sep-1994,3013654,3049404,6063058
Dec-1994,3017659,3054213,6071872
Mar-1995,3025280,3062630,6087910
Jun-1995,3033790,3071770,6105560
Sep-1995,3042890,3081758,6124648
Dec-1995,3051661,3092310,6143971
Mar-1996,3059051,3100755,6159806
Jun-1996,3066993,3109468,6176461
Sep-1996,3076091,3120160,6196251
Dec-1996,3084364,3130184,6214548
Mar-1997,3094095,3140208,6234303
Jun-1997,3099735,3146532,6246267
Sep-1997,3107087,3153780,6260867
Dec-1997,3113586,3161380,6274966
Mar-1998,3123941,3171319,6295260
Jun-1998,3128919,3176880,6305799
Sep-1998,3137920,3186191,6324111
Dec-1998,3145134,3193656,6338790
Mar-1999,3155835,3204717,6360552
Jun-1999,3163238,3211865,6375103
Sep-1999,3172361,3220739,6393100
Dec-1999,3180554,3229417,6409971
Mar-2000,3191864,3239962,6431826
Jun-2000,3199392,3247166,6446558
Sep-2000,3209563,3256051,6465614
Dec-2000,3218964,3266117,6485081
Mar-2001,3233305,3280539,6513844
Jun-2001,3241835,3288514,6530349
Sep-2001,3248935,3295956,6544891
Dec-2001,3254898,3303586,6558484
Mar-2002,3263556,3311740,6575296
Jun-2002,3265784,3315023,6580807
Sep-2002,3270112,3320547,6590659
Dec-2002,3273797,3325644,6599441
Mar-2003,3281607,3334105,6615712
Jun-2003,3283709,3337006,6620715
Sep-2003,3286954,3340584,6627538
Dec-2003,3289793,3344716,6634509
Mar-2004,3296562,3351718,6648280
Jun-2004,3297397,3353338,6650735
Sep-2004,3301919,3358497,6660416
Dec-2004,3305332,3363874,6669206
Mar-2005,3313555,3372320,6685875
Jun-2005,3316494,3376712,6693206
Sep-2005,3323084,3384345,6707429
Dec-2005,3327461,3390562,6718023
Mar-2006,3336005,3399523,6735528
Jun-2006,3339035,3403655,6742690
Sep-2006,3351254,3414879,6766133
Dec-2006,3361292,3424868,6786160
Mar-2007,3376796,3438563,6815359
Jun-2007,3387138,3447018,6834156
Sep-2007,3401126,3458610,6859736
Dec-2007,3413653,3470199,6883852
Mar-2008,3432731,3487176,6919907
Jun-2008,3445097,3498364,6943461
Sep-2008,3460648,3511747,6972395
Dec-2008,3476199,3525583,7001782
Mar-2009,3492115,3540308,7032423
Jun-2009,3502936,3550819,7053755
Sep-2009,3515766,3563409,7079175
Dec-2009,3526643,3574861,7101504
Mar-2010,3540212,3588144,7128356
Jun-2010,3548107,3596185,7144292
Sep-2010,3557269,3605457,7162726
Dec-2010,3565558,3614333,7179891
Mar-2011,3577883,3626854,7204737
Jun-2011,3585109,3633420,7218529
Sep-2011,3594974,3644554,7239528
Dec-2011,3604198,3654524,7258722
Mar-2012,3617039,3667943,7284982
Jun-2012,3626400,3677844,7304244
Sep-2012,3637647,3689967,7327614
Dec-2012,3650035,3703154,7353189
Mar-2013,3664409,3718548,7382957
Jun-2013,3674410,3729622,7404032
Sep-2013,3687294,3743610,7430904
Dec-2013,3698220,3756718,7454938
Mar-2014,3714264,3773570,7487834
Jun-2014,3724215,3784138,7508353
Sep-2014,3737719,3798558,7536277
Dec-2014,3750061,3812110,7562171
Mar-2015,3766915,3828816,7595731
Jun-2015,3776574,3839594,7616168
Sep-2015,3790716,3854608,7645324
Dec-2015,3803289,3868112,7671401
Mar-2016,3821409,3886003,7707412
Jun-2016,3833807,3899051,7732858
Sep-2016,3851341,3916574,7767915
Dec-2016,3865361,3930264,7795625
Mar-2017,3884979,3948484,7833463
Jun-2017,3896830,3958486,7855316
Sep-2017,3912293,3972459,7884752
Dec-2017,3921301,3979645,7900946
Mar-2018,3939656,3995032,7934688
Jun-2018,3950763,4003713,7954476
Sep-2018,3966560,4017965,7984525
Dec-2018,3976266,4027298,8003564
Mar-2019,3991886,4041105,8032991
Jun-2019,3999452,4047296,8046748
Sep-2019,4011787,4059563,8071350
Dec-2019,4019498,4068863,8088361
Mar-2020,4031001,4081000,8112001
Jun-2020,4030710,4079900,8110610
Sep-2020,4025030,4073875,8098905
Dec-2020,4022460,4071840,8094300
Mar-2021,4022559,4070456,8093015
Jun-2021,4025393,4071669,8097062
Sep-2021,4019892,4068611,8088503
Dec-2021,4026436,4074787,8101223
Mar-2022,4044454,4093234,8137688
Jun-2022,4059763,4106941,8166704
Sep-2022,4080692,4127898,8208590
Dec-2022,4101258,4148037,8249295
Mar-2023,4128956,4174305,8303261
Jun-2023,4150653,4194360,8345013
Sep-2023,4178228,4220877,8399105
Dec-2023,4194882,4239872,8434754
